Jabari Parker,MIL,31,1.8,0.139,1,1.8,0.7,1.4,54.8,56,0.107,0.161,0.089,0.018,0.5
Justise Winslow,MIA,68,1.3,0.139,0.91,1.1,0.5,0.9,49.2,49.2,0.188,0.129,0.188,0.059,0.459
Stanley Johnson,DET,69,1.4,0.139,0.68,1,0.4,1.1,32.9,34.2,0.102,0.133,0.102,0.01,0.347
Wade Baldwin IV,POR,7,0.6,0.138,1,0.6,0.3,0.6,50,50,0,0,0,0,0.5
James Johnson,MIA,73,1.5,0.137,0.71,1.1,0.5,1,44,44,0.115,0.248,0.115,0.027,0.372
Damyean Dotson,NYK,44,0.5,0.124,0.43,0.2,0.1,0.4,22.2,22.2,0.13,0.13,0.13,0.043,0.261
Jayson Tatum,BOS,79,1.6,0.123,0.92,1.5,0.6,1.2,46.9,50.5,0.101,0.163,0.093,0.008,0.442
Gerald Green,HOU,41,1.4,0.123,1.23,1.7,0.6,1.1,51.1,63.8,0.088,0.105,0.088,0.018,0.491
Dorian Finney-Smith,DAL,21,0.9,0.122,0.22,0.2,0,0.6,7.7,7.7,0.056,0.222,0.056,0,0.111
Ben McLemore,MEM,56,1,0.119,0.56,0.6,0.2,0.6,27.8,30.6,0.091,0.255,0.091,0,0.273
Kelly Oubre Jr.,WAS,81,1.4,0.118,0.71,1,0.4,1.1,35.6,37.9,0.095,0.172,0.069,0.017,0.345
Wesley Matthews,DAL,63,1.5,0.118,0.92,1.4,0.6,1.2,48.7,53.9,0.052,0.196,0.052,0.031,0.402
Otto Porter Jr.,WAS,77,1.6,0.118,1.03,1.6,0.7,1.4,51.4,54.8,0.042,0.092,0.033,0.008,0.483
Mario Hezonja,ORL,75,1.2,0.116,0.87,1,0.4,0.9,50,53.9,0.046,0.23,0.034,0.011,0.402
Terrence Ross,ORL,24,1.1,0.115,0.89,1,0.4,0.9,42.9,50,0.074,0.185,0.074,0.037,0.37
