Player_num,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
348,Chandler Parsons,MEM,29,36,12,24,19.2,48.3,51.7,40.1,12,53.9,9.9,6,15.5,28.2,36.8,63.2,82.4,17.6,58.3,41.7
348,Ivan Rabb,MEM,21,36,6,30,14.3,100,0,85.6,25.9,0,7,14.4,13.9,59.7,68.6,31.4,0,0,68.6,31.4
348,Mike James,NOP,27,36,11,25,19.1,69.5,30.5,57.7,10.7,23.2,9.5,19,20.5,47,8.2,91.8,26.9,73.1,12.2,87.8
354,Wayne Selden,MEM,23,35,10,25,19.8,54.6,45.4,41.2,10.5,45.2,18.2,13.5,16.6,30.8,40.3,59.7,85.7,14.3,59.5,40.5
355,Jake Layman,POR,24,34,21,13,4.7,57.4,42.6,58.8,17.6,35.3,20.6,5.9,38.2,41.2,60,40,100,0,71.4,28.6
356,Meyers Leonard,POR,26,33,17,16,7.7,66.7,33.3,62.5,19.6,29.5,3.6,8,8.9,42.9,77.1,22.9,100,0,82.6,17.4
356,Jason Smith,WAS,32,33,15,18,8.6,72.2,27.8,72.6,35.4,10.6,3.5,16.8,11.5,37.2,85.4,14.6,100,0,86.7,13.3
356,Quinn Cook,GSW,25,33,21,12,22.4,58.7,41.3,48.7,20.5,44.2,21.8,7.1,20.8,28.2,40.8,59.2,76.1,23.9,54.1,45.9
356,Guerschon Yabusele,BOS,22,33,24,9,7.1,39.3,60.7,35.4,7.6,45.6,6.3,19,6.3,27.8,78.6,21.4,100,0,88.5,11.5
356,Cody Zeller,CHA,25,33,14,19,19,98.1,1.9,71.2,8.6,2.6,5.2,26.2,17.6,62.7,79.5,20.5,100,0,80,20
361,Kobi Simmons,MEM,20,32,6,26,20.1,79.4,20.6,70.4,10.2,16.8,21.9,12.8,23.5,60.2,43.5,56.5,81.8,18.2,48.8,51.3
361,Ante Zizic,CLE,21,32,21,11,6.7,100,0,82.4,1.7,0,0,17.6,11.8,80.7,63.3,36.7,0,0,63.3,36.7
361,Aaron Brooks,MIN,33,32,19,13,5.9,55.1,44.9,45.3,21.3,44,2.7,10.7,10.7,24,11.8,88.2,81.8,18.2,39.3,60.7
361,Isaiah Thomas,LAL,29,32,15,17,26.9,55.3,44.7,42,13.6,34,17.3,24.1,15.2,28.4,27.5,72.5,54.5,45.5,36.9,63.1
361,Kenneth Faried,DEN,28,32,16,16,14.4,99.3,0.7,80.9,5.3,0,16.5,19.1,16.5,75.5,69.7,30.3,0,0,69.7,30.3
361,Kyle Collinsworth,DAL,26,32,9,23,15,82.8,17.2,67.3,0,11.9,6.9,20.8,14.9,67.3,29.4,70.6,100,0,36.8,63.2
367,Timofey Mozgov,BKN,31,31,12,19,11.6,80.6,19.4,73.3,1.5,9.2,5.3,17.6,7.6,71.8,77.1,22.9,100,0,78.8,21.2
367,Dakari Johnson,OKC,22,31,21,10,5.2,100,0,80,18.2,0,10.9,20,29.1,61.8,72.7,27.3,0,0,72.7,27.3
367,Jabari Parker,MIL,23,31,16,15,24,75.6,24.4,66,17.9,23.8,14.6,10.2,18.4,48.1,58.1,41.9,96.8,3.2,65.6,34.4
370,Tyrone Wallace,LAC,24,30,17,13,28.4,83.8,16.2,68.7,5.5,10.3,27.5,21,18.6,63.2,58,42,100,0,61.8,38.2
370,Dion Waiters,MIA,26,30,16,14,30.6,58.5,41.5,51.7,13.1,36.4,6.8,11.9,14.7,38.7,17.1,82.9,76.9,23.1,36.2,63.8
370,Nerlens Noel,DAL,24,30,6,24,15.7,99,1,84,3.1,0,1.5,16,19.1,80.9,80,20,0,0,80,20
373,Ron Baker,NYK,25,29,12,17,13.3,44.1,55.9,25.4,2.8,46.5,2.8,28.2,18.3,22.5,55.6,44.4,72.7,27.3,65,35
373,Dwight Buycks,DET,29,29,10,19,14.7,77.3,22.7,62.3,23.3,20.9,12.1,16.7,20,39.1,28.4,71.6,40,60,30.5,69.5
375,Jahlil Okafor,BKN,22,28,7,21,12.6,97.1,2.9,86.4,8,1.7,3.4,11.9,9.1,78.4,48.7,51.3,0,100,48.1,51.9
375,Brandan Wright,HOU,30,28,11,17,13.6,100,0,84.9,4.3,0,15.8,15.1,15.8,80.6,81.4,18.6,0,0,81.4,18.6
375,Rashad Vaughn,ORL,21,28,13,15,7.6,33.9,66.1,28.1,9.4,65.6,7.8,6.3,20.3,18.8,77.8,22.2,100,0,91.3,8.7
