PLAYER,TEAM,GP,W,L,MIN,DIST FEET,DIST MILES,DIST MILES OFF,DIST MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Trevor Booker,IND,67,36,31,17.1,6597.4,1.25,0.67,0.58,4.41,4.69,4.14
Trey Burke,NYK,36,10,26,21.8,8575.6,1.62,0.88,0.75,4.52,4.87,4.17
Trey Lyles,DEN,73,41,32,19.1,6896.3,1.31,0.72,0.59,4.16,4.52,3.79
Trey McKinney-Jones,IND,1,1,0,1.2,533,0.1,0.06,0.04,4.85,7.24,0
Tristan Thompson,CLE,53,27,26,20.2,7991.5,1.51,0.81,0.71,4.5,4.8,4.21
Troy Daniels,PHX,79,20,59,20.5,8263.3,1.57,0.86,0.7,4.59,5.09,4.1
Troy Williams,NYK,21,7,14,14.6,5806.2,1.1,0.58,0.52,4.63,4.89,4.38
Tyler Cavanaugh,ATL,38,11,27,13.3,5340.3,1.01,0.57,0.44,4.6,5.06,4.11
Tyler Dorsey,ATL,56,15,41,17.4,6808.5,1.29,0.68,0.61,4.49,4.66,4.32
Tyler Ennis,LAL,54,22,32,12.7,5013.5,0.95,0.51,0.44,4.63,5.18,4.14
Tyler Johnson,MIA,71,38,33,28.5,11218.6,2.12,1.12,1,4.48,4.65,4.31
Tyler Lydon,DEN,1,1,0,2.2,897,0.17,0.11,0.06,5.53,4.28,7.8
Tyler Ulis,PHX,71,20,51,23.4,9096.2,1.72,0.89,0.83,4.44,4.68,4.21
Tyler Zeller,MIL,64,26,38,16.6,6372.2,1.21,0.64,0.56,4.38,4.65,4.12
Tyreke Evans,MEM,52,19,33,30.9,10670.6,2.02,1.12,0.9,3.94,4.3,3.56
Tyrone Wallace,LAC,30,17,13,28.4,11399.7,2.16,1.14,1.02,4.59,4.98,4.22
Tyson Chandler,PHX,46,15,31,25,8615.1,1.63,0.86,0.77,3.93,4.13,3.72
Tyus Jones,MIN,82,47,35,17.9,7064.3,1.34,0.72,0.62,4.5,4.71,4.28
Udonis Haslem,MIA,14,9,5,5.1,1617.3,0.31,0.17,0.14,3.61,3.63,3.58
