PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Malachi Richardson,SAC,25,0.5,12.00%,1.23,0.6,0.2,0.4,45.5,59.1,23.10%,0.00%,23.10%,7.70%,53.80%,74.8
Anthony Tolliver,DET,79,1.3,17.10%,1.38,1.7,0.6,1.2,51.6,70.3,5.00%,4.00%,6.00%,1.00%,51.00%,92.8
Tony Snell,MIL,75,1.5,22.80%,1.24,1.8,0.6,1.3,49.5,63.9,7.30%,5.50%,6.40%,0.90%,50.00%,75.5
Demetrius Jackson,HOU,3,0.3,8.30%,2,0.7,0.3,0.3,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Maxi Kleber,DAL,72,0.4,8.50%,0.97,0.4,0.1,0.3,41.7,47.9,19.40%,6.50%,19.40%,3.20%,48.40%,24.1
Kyle O'Quinn,NYK,77,0.5,6.50%,1.37,0.6,0.2,0.3,73.1,73.1,17.10%,14.30%,17.10%,5.70%,65.70%,92.1
DeAndre Jordan,LAC,77,1,9.00%,1.36,1.3,0.6,0.7,88.7,88.7,15.80%,19.70%,15.80%,5.30%,71.10%,90.5
T.J. McConnell,PHI,76,1.3,18.20%,0.89,1.2,0.5,0.9,60.3,62.5,4.00%,29.00%,2.00%,1.00%,44.00%,14.6
Jakob Poeltl,TOR,82,0.5,8.80%,1.51,0.8,0.4,0.5,78.9,78.9,17.80%,4.40%,17.80%,6.70%,77.80%,98.2
Lucas Nogueira,TOR,29,0.3,10.50%,0.75,0.2,0.1,0.2,33.3,33.3,12.50%,12.50%,12.50%,0.00%,37.50%,
Zaza Pachulia,GSW,69,0.7,12.60%,1.17,0.8,0.3,0.5,61.8,61.8,18.80%,14.60%,18.80%,4.20%,58.30%,62.5
D.J. Augustin,ORL,75,1.6,16.60%,0.89,1.5,0.5,1.3,39.8,45.9,9.80%,12.20%,6.50%,1.60%,39.80%,14.4
DeAndre Liggins,MIL,31,0.5,18.80%,0.4,0.2,0.1,0.4,27.3,27.3,6.70%,20.00%,6.70%,0.00%,20.00%,0.5
Dwight Powell,DAL,79,0.5,6.80%,1.15,0.6,0.2,0.4,60.7,67.9,20.50%,12.80%,17.90%,5.10%,56.40%,59.6
Joffrey Lauvergne,SAS,47,0.2,4.80%,1.09,0.3,0.1,0.2,60,60,0.00%,9.10%,0.00%,0.00%,54.50%,51.7
Raymond Felton,OKC,82,0.7,8.90%,0.98,0.7,0.3,0.5,48.8,55.8,8.80%,19.30%,8.80%,3.50%,42.10%,27.3
Doug McDermott,DAL,26,0.8,10.40%,1.64,1.4,0.5,0.8,66.7,85.7,0.00%,4.50%,0.00%,0.00%,63.60%,99.5
Luke Kennard,DET,73,1,12.40%,1.07,1,0.4,0.9,43.1,55.4,4.30%,5.70%,4.30%,2.90%,41.40%,47.1
Chandler Parsons,MEM,36,1.1,14.70%,0.98,1.1,0.4,1,40,54.3,2.40%,12.20%,0.00%,0.00%,36.60%,25.7
Justise Winslow,MIA,68,1.6,17.80%,0.95,1.5,0.6,1.2,48.8,50,15.60%,12.80%,14.70%,3.70%,47.70%,22.7
Frank Mason,SAC,52,2,20.70%,0.92,1.8,0.6,1.5,42.1,45.4,16.70%,12.70%,15.70%,3.90%,43.10%,18
Anthony Davis,NOP,75,3.4,13.50%,1.25,4.2,1.6,2.5,65.9,67,20.20%,10.30%,19.80%,4.30%,63.60%,78.2
Rodney Hood,CLE,21,2.3,21.80%,1.23,2.8,1.1,2,53.5,60.5,10.40%,0.00%,6.30%,0.00%,58.30%,74.5
Dorian Finney-Smith,DAL,21,1,14.90%,0.86,0.9,0.3,0.9,33.3,44.4,9.10%,9.10%,9.10%,0.00%,36.40%,12.4
Ish Smith,DET,82,3,25.20%,1.05,3.1,1.3,2.3,59.1,60.8,9.10%,15.70%,6.60%,1.70%,52.10%,40.3
Marquese Chriss,PHX,72,1.3,14.60%,1.01,1.3,0.5,1,54.9,59.2,13.50%,15.60%,11.50%,3.10%,50.00%,32.7
Shane Larkin,BOS,53,0.5,10.60%,1.61,0.8,0.3,0.5,72,90,0.00%,10.70%,0.00%,0.00%,64.30%,99.3
Thon Maker,MIL,74,0.6,11.70%,1.11,0.7,0.3,0.5,56.4,57.7,14.90%,4.30%,14.90%,2.10%,57.40%,52.9
Damian Lillard,POR,73,2.7,10.60%,1.12,3,1,2,51.4,57.8,13.80%,12.30%,10.80%,2.10%,50.80%,55.4
Ed Davis,POR,78,0.2,3.50%,1.29,0.2,0.1,0.2,61.5,61.5,7.10%,0.00%,7.10%,0.00%,64.30%,85.3
Al Jefferson,IND,36,0.2,2.90%,1.14,0.2,0.1,0.2,57.1,57.1,0.00%,0.00%,0.00%,0.00%,57.10%,
Ian Mahinmi,WAS,77,0.4,7.20%,0.9,0.3,0.1,0.2,52.6,52.6,13.80%,20.70%,13.80%,0.00%,48.30%,15.8
Nerlens Noel,DAL,31,0.5,9.90%,0.57,0.3,0.1,0.4,33.3,33.3,0.00%,14.30%,0.00%,0.00%,28.60%,1.4
Tyson Chandler,PHX,46,0.4,6.60%,1.37,0.6,0.3,0.3,85.7,85.7,10.50%,15.80%,10.50%,0.00%,73.70%,91.9
Frank Kaminsky,CHA,79,1,9.50%,1.26,1.3,0.4,0.8,53.2,64.5,19.50%,7.30%,19.50%,3.70%,54.90%,80
TJ Leaf,IND,23,0.6,17.50%,1.07,0.7,0.3,0.6,53.8,57.7,7.10%,7.10%,7.10%,7.10%,50.00%,54.6
Arron Afflalo,ORL,53,0.5,14.40%,1.21,0.6,0.2,0.4,54.5,63.6,10.70%,10.70%,10.70%,0.00%,53.60%,72.5
Jabari Bird,BOS,1,2,66.70%,1,2,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
Jonathan Isaac,ORL,27,0.9,13.20%,1.21,1.1,0.4,0.6,73.3,83.3,16.70%,29.20%,12.50%,8.30%,54.20%,71.4
CJ McCollum,POR,81,3,13.90%,0.91,2.7,1.1,2.5,43.6,47,9.80%,10.20%,9.00%,2.90%,42.40%,16.9
Ersan Ilyasova,PHI,23,1.7,15.30%,1.05,1.8,0.7,1.6,45.9,55.4,2.50%,5.00%,2.50%,0.00%,45.00%,41.9
Luke Babbitt,MIA,13,0.3,7.80%,0.75,0.2,0.1,0.3,25,37.5,0.00%,0.00%,0.00%,0.00%,25.00%,
Jason Terry,MIL,51,0.9,26.50%,1.02,1,0.4,0.8,41.9,54.7,2.10%,8.30%,0.00%,0.00%,39.60%,34.9
Caleb Swanigan,POR,12,0.2,3.70%,1,0.2,0.1,0.2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Zach Randolph,SAC,60,0.7,4.50%,1.15,0.8,0.3,0.6,55.6,65.3,2.40%,12.20%,2.40%,2.40%,48.80%,58.3
Justin Jackson,SAC,68,1.3,18.90%,1.12,1.5,0.6,1.2,50.6,58.2,7.90%,6.70%,7.90%,3.40%,48.30%,55.6
Skal Labissiere,SAC,60,0.6,6.40%,1.27,0.8,0.3,0.5,64.3,69.6,21.60%,10.80%,21.60%,8.10%,62.20%,82.4
Treveon Graham,CHA,63,0.7,15.70%,1.44,1,0.4,0.6,61.5,71.8,16.30%,2.30%,16.30%,9.30%,62.80%,96.2
Mario Hezonja,ORL,75,1.9,19.00%,1.06,2,0.8,1.5,54.1,57.3,10.60%,14.10%,10.60%,1.40%,50.70%,45
Yogi Ferrell,DAL,82,1.4,13.50%,0.93,1.3,0.4,1.1,37.2,48.4,12.20%,9.60%,10.40%,3.50%,38.30%,20.5
Paul George,OKC,79,3.7,16.80%,1.04,3.8,1.2,2.6,46.9,56.3,16.60%,15.90%,15.20%,4.80%,45.00%,38.5
Russell Westbrook,OKC,80,6.7,23.20%,1.01,6.8,2.6,4.7,55.2,56.4,17.60%,16.50%,14.60%,4.90%,50.60%,33.3
Carmelo Anthony,OKC,78,2.2,12.90%,1.05,2.3,0.8,2.1,40.4,54,4.00%,4.00%,4.00%,1.10%,39.70%,40.8
Delon Wright,TOR,69,1.6,19.50%,1.26,2,0.8,1.2,61.9,68.5,14.70%,13.80%,13.80%,5.50%,56.00%,80.2
