PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Brooks,MIN,32,19,13,5.9,1.8,0.4,0.9,40,0.1,0.1,75,0.8,48.2,0.6,32.1,0.1,5.4,0,1.8,0.1,3.6
Aaron Gordon,ORL,58,19,39,32.9,5.2,0.9,2.5,37.9,0.7,1,70,2.8,53.8,1.2,23.3,0.3,6.6,0.5,9.3,0.5,10
Aaron Harrison,DAL,9,2,7,25.9,2.4,0.4,1.2,36.4,0,0,0,0.9,36.4,0.7,27.3,0.1,4.5,0,0,0,0
Abdel Nader,BOS,47,32,15,11.1,2.2,0.3,1,30.4,0.1,0.1,66.7,0.7,31.1,0.6,29.1,0.2,7.8,0.3,11.7,0.1,2.9
Adreian Payne,ORL,5,0,5,8.5,0.2,0.2,0.2,100,0,0,0,0.4,200,0,0,0,0,0,0,0,0
Al Horford,BOS,69,44,25,31.5,2.9,0.7,1.3,54.5,0.2,0.2,78.6,1.6,53.2,0.9,32,0.3,11.8,0.1,3,0.1,3.4
Al Jefferson,IND,36,17,19,13.4,0.1,0.1,0.1,66.7,0,0,0,0.1,80,0.1,40,0,0,0,0,0,0
Al-Farouq Aminu,POR,69,40,29,30,3.1,0.5,1.2,38.4,0.3,0.4,80.8,1.3,41.8,1,31.5,0.2,7.5,0.3,9.4,0.2,6.1
Alan Williams,PHX,5,1,4,14.1,0.4,0.2,0.2,100,0,0,0,0.4,100,0,0,0,0,0,0,0,0
Alec Burks,UTA,64,37,27,16.5,4.9,0.9,2.4,37.8,0.8,1,82,2.7,55.4,1.1,22.8,0.4,7.4,0.4,8.3,0.5,9.9
Alec Peters,PHX,20,2,18,11.2,0.3,0,0,0,0,0.1,0,0,0,0.2,50,0,0,0.1,16.7,0.1,16.7
Alex Abrines,OKC,73,42,31,15.1,0.9,0.1,0.3,41.7,0.2,0.2,100,0.5,47.8,0.3,36.2,0,4.3,0.1,10.1,0.1,8.7
Alex Caruso,LAL,37,16,21,15.2,2.6,0.4,1,42.1,0.1,0.2,50,1,37.9,0.9,34.7,0.3,11.6,0.2,6.3,0.1,3.2
Alex Len,PHX,69,20,49,20.2,0.4,0.2,0.3,66.7,0.1,0.1,50,0.5,110.3,0,3.4,0,3.4,0,6.9,0.1,13.8
Alex Poythress,IND,25,10,15,4.2,0.2,0,0.2,25,0,0,0,0.1,40,0,0,0,20,0,0,0,0
Alfonzo McKinnie,TOR,14,13,1,3.8,0.4,0.1,0.2,66.7,0,0,0,0.3,66.7,0.1,16.7,0,0,0.1,33.3,0,0
Allen Crabbe,BKN,73,24,49,29.2,3.2,0.8,1.5,48.7,0.3,0.3,86.4,1.8,56,1,32.3,0.2,5.6,0.2,5.2,0.2,5.2
Amir Johnson,PHI,74,47,27,15.8,0.4,0.1,0.3,52.6,0.1,0.1,66.7,0.3,82.8,0.1,17.2,0,3.4,0,0,0,10.3
Andre Drummond,DET,78,37,41,33.7,2.1,0.4,1.2,34.4,0.4,0.8,50,1.3,62.5,0.2,8.8,0,1.9,0.1,6.3,0.4,20.6
Andre Iguodala,GSW,64,46,18,25.4,1.8,0.3,0.6,40,0.2,0.2,71.4,0.7,37.1,0.6,35.3,0.2,10.3,0.2,9.5,0.1,6
Andre Ingram,LAL,2,1,1,32.1,2.5,0.5,1.5,33.3,0,0,0,1,40,0,0,0,0,0,0,0,0
Andre Roberson,OKC,37,24,13,26.6,0.5,0.1,0.2,25,0.1,0.1,100,0.2,31.6,0.1,26.3,0,5.3,0.1,21.1,0,5.3
Andrew Bogut,LAL,24,7,17,9,0.1,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0
Andrew Harrison,MEM,56,17,39,23.7,8.8,1.4,2.9,47.5,1,1.1,87.5,3.9,44.4,3.5,39.9,0.8,9,0.6,6.7,0.6,6.5
Andrew White III,ATL,15,1,14,13.9,1.2,0.2,0.5,42.9,0,0.1,0,0.4,33.3,0.4,33.3,0.1,5.6,0.1,11.1,0.1,5.6
Andrew Wiggins,MIN,82,47,35,36.3,7.7,1.7,3.7,45.1,1,1.4,67.2,4.4,56.8,2,26.1,0.4,5.7,0.5,7,0.7,9.3
Ante Zizic,CLE,32,21,11,6.7,0.1,0,0,0,0,0.1,50,0,50,0,0,0,0,0,0,0,50
Anthony Brown,MIN,1,0,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,NOP,75,45,30,36.4,4.1,1.1,2.4,45.3,1,1.1,91.7,3.3,80.3,0.5,12.9,0.1,3.2,0.3,6.8,0.6,13.9
Anthony Tolliver,DET,79,37,42,22.2,1.2,0.3,0.5,55,0.2,0.3,75,0.8,68,0.3,26.8,0.1,6.2,0.1,6.2,0.2,12.4
Antonio Blakeney,CHI,19,3,16,16.5,2.8,0.5,1.6,29,0.2,0.3,50,1.2,40.7,0.6,22.2,0.4,13,0,0,0.2,5.6
Antonius Cleveland,ATL,17,7,10,7.2,0.9,0,0.3,0,0.2,0.4,66.7,0.2,26.7,0.2,20,0.1,13.3,0.1,13.3,0.2,20
Aron Baynes,BOS,78,51,27,18.4,0.1,0,0.1,20,0,0,100,0.1,44.4,0,22.2,0,0,0,11.1,0,11.1
Arron Afflalo,ORL,53,16,37,12.9,1,0.2,0.3,47.1,0.1,0.1,100,0.4,38.5,0.5,46.2,0.1,9.6,0.1,5.8,0,3.8
Austin Rivers,LAC,61,30,31,33.7,12.4,2.5,5.7,43,1,1.4,67.4,6,48.4,3.8,31,1.1,8.6,0.6,5.2,0.7,5.7
Avery Bradley,LAC,46,22,24,31.2,4.4,1.1,2.6,40.8,0.3,0.5,63.6,2.5,56.7,0.9,20.2,0.2,3.4,0.4,9.9,0.2,5.4
Bam Adebayo,MIA,68,33,35,19.8,0.8,0.2,0.4,46.7,0.2,0.3,88.9,0.7,83.3,0.1,13,0,3.7,0,1.9,0.1,16.7
Ben McLemore,MEM,56,7,49,19.5,2,0.4,1,44.4,0.3,0.3,100,1.2,57,0.5,25.4,0.1,7,0.2,7.9,0.1,7
Ben Moore,IND,2,1,1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,PHI,80,51,29,33.8,15.5,2.9,6.2,46.5,0.7,1.3,53.3,6.5,41.8,5.9,38,1.5,9.9,0.8,5.1,0.7,4.3
Bismack Biyombo,ORL,82,25,57,18.2,0.1,0,0.1,28.6,0,0,0,0,36.4,0,18.2,0,0,0,18.2,0,0
Blake Griffin,DET,58,28,30,34,7,1.7,3.6,48.8,1,1.3,76,4.6,65.9,1.4,20,0.6,9.1,0.4,6.4,0.7,9.4
Boban Marjanovic,LAC,39,18,21,8.7,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Bobby Brown,HOU,20,17,3,5.7,1.1,0.3,0.6,41.7,0.1,0.1,50,0.6,50,0.3,22.7,0.1,4.5,0.2,13.6,0.1,4.5
Bobby Portis,CHI,73,25,48,22.5,2,0.7,1.4,51.5,0.2,0.4,60.7,1.7,85.4,0.2,10.4,0.1,2.8,0.2,7.6,0.2,9.7
Bogdan Bogdanovic,SAC,78,26,52,27.9,6.7,1.3,2.7,47.6,0.3,0.3,80.8,2.9,43.1,2.4,35.8,0.9,12.8,0.4,6.1,0.2,2.5
Bojan Bogdanovic,IND,80,47,33,30.8,4.9,1.2,2.4,50.3,0.7,0.8,83.9,3.1,64.2,1.4,28.1,0.3,6.2,0.3,6.7,0.4,8
Bradley Beal,WAS,82,43,39,36.3,10.4,2.4,4.9,48.8,0.8,1,77.5,5.8,55.3,3,29.3,0.8,8.1,0.7,6.9,0.5,4.7
Brandan Wright,HOU,28,11,17,13.6,0.4,0.1,0.2,40,0.1,0.2,33.3,0.2,60,0,10,0,0,0,10,0.1,30
Brandon Ingram,LAL,59,27,32,33.5,10.6,2.2,4.6,47.4,1.3,1.9,68.4,5.8,54.9,3,28.3,0.9,8.1,0.7,6.8,1,9.4
Brandon Jennings,MIL,14,8,6,14.7,4.1,0.7,1.6,45.5,0,0,0,1.6,37.9,1.6,39.7,0.4,8.6,0.2,5.2,0,0
Brandon Paul,SAS,64,38,26,9,1,0.1,0.4,39.1,0.3,0.4,69.2,0.6,54.5,0.2,22.7,0.1,9.1,0.1,7.6,0.2,19.7
Briante Weber,MEM,18,8,10,13.1,3.1,0.3,0.8,33.3,0,0,0,0.6,18.2,1.7,54.5,0.3,9.1,0.2,7.3,0,0
Brice Johnson,MEM,18,2,16,5.4,0.2,0.1,0.2,66.7,0,0,0,0.2,100,0,0,0,0,0,0,0,0
Brook Lopez,LAL,74,34,40,23.4,1.9,0.7,1.1,60.2,0.2,0.2,77.8,1.6,86.9,0.3,16.1,0.1,6.6,0.1,5.8,0.1,6.6
Bruno Caboclo,SAC,12,4,8,8.9,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryn Forbes,SAS,80,46,34,19,2.8,0.7,1.6,44,0.2,0.3,66.7,1.6,57.9,0.7,26.2,0.2,6.8,0.1,2.3,0.2,5.4
Buddy Hield,SAC,80,27,53,25.3,4.4,0.8,2.1,36.7,0.1,0.1,87.5,1.7,38,1.4,32.3,0.5,10.8,0.3,5.7,0.1,1.1
C.J. Williams,LAC,38,17,21,18.6,2.1,0.7,1.3,58.3,0.1,0.1,100,1.5,71.6,0.5,22.2,0.2,8.6,0.1,4.9,0,1.2
CJ McCollum,POR,81,48,33,36.1,9.8,2.6,6,43,0.9,1,87.5,6.1,62.7,2,20.9,0.5,5.4,0.4,3.9,0.5,5.3
CJ Miles,TOR,70,50,20,19.1,2,0.4,1.1,38.7,0.2,0.3,94.4,1.1,53.2,0.5,27,0.1,7.1,0.1,3.5,0.1,6.4
Caleb Swanigan,POR,27,16,11,7,0.1,0,0.1,50,0,0,0,0.1,75,0,25,0,0,0,25,0,0
Cameron Payne,CHI,25,7,18,23.3,6.2,1.1,3,36.5,0.1,0.1,100,2.3,37,2,33.1,0.6,9.7,0.3,4.5,0,0.6
Caris LeVert,BKN,69,24,45,26.1,11,1.9,4.2,45.7,0.7,1,71.4,4.8,43.7,3.7,33.3,1.4,12.5,0.9,8,0.5,4.6
Carmelo Anthony,OKC,76,46,30,32,1.7,0.6,1.1,51.2,0.4,0.4,82.4,1.6,90.1,0.2,9.9,0.1,3.1,0.1,6.9,0.2,13
Cedi Osman,CLE,61,35,26,11,0.9,0.2,0.5,44.8,0.1,0.1,62.5,0.5,57.1,0.2,23.2,0,3.6,0.1,10.7,0.1,7.1
Chandler Parsons,MEM,36,12,24,19.2,3.6,0.7,1.3,55.3,0.1,0.1,50,1.6,44.2,1.5,41.9,0.4,12.4,0.2,4.7,0.1,1.6
Channing Frye,LAL,53,28,25,13.1,0.4,0.2,0.2,75,0,0,0,0.4,90.9,0.2,36.4,0,4.5,0,4.5,0,0
Charles Cooke,NOP,13,8,5,2.9,0.5,0.1,0.3,25,0,0,0,0.2,33.3,0,0,0.1,16.7,0.1,16.7,0,0
Cheick Diallo,NOP,52,29,23,11.2,0.2,0.1,0.2,50,0,0,50,0.2,90,0,10,0,0,0,0,0,10
Chinanu Onuaku,HOU,1,0,1,21.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Boucher,GSW,1,1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,WAS,19,11,8,4.7,0.6,0.1,0.3,33.3,0.2,0.3,66.7,0.4,66.7,0.1,16.7,0,0,0.1,8.3,0.2,25
Chris Paul,HOU,58,50,8,31.8,11.7,2.1,4.2,49.4,0.3,0.4,95.2,4.7,40.5,4.4,38.1,2,16.8,0.6,5,0.2,1.5
Clint Capela,HOU,74,62,12,27.5,1,0.3,0.6,48.9,0.1,0.2,62.5,0.8,78.1,0.1,13.7,0,0,0.1,11,0.1,11
Cody Zeller,CHA,33,14,19,19,0.8,0.1,0.3,36.4,0.3,0.4,64.3,0.5,69.2,0.1,15.4,0,0,0.1,15.4,0.2,26.9
Cole Aldrich,MIN,21,14,7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,OKC,72,32,40,16.8,1.6,0.4,0.8,48.3,0.1,0.2,58.3,0.9,56.3,0.5,30.4,0.1,5.4,0.1,6.3,0.1,5.4
Cory Joseph,IND,82,48,34,27,6,1,2,50,0.3,0.3,75,2.3,38.5,2.7,45,0.7,11.1,0.2,3.2,0.2,2.8
Courtney Lee,NYK,75,26,49,30.4,4,0.9,2,46.7,0.6,0.6,95.5,2.5,60.9,1.3,31.8,0.2,6,0.2,4.3,0.3,7.3
Cristiano Felicio,CHI,55,13,42,17.8,0.5,0.2,0.3,64.3,0.1,0.1,75,0.4,75.9,0.1,17.2,0,6.9,0.1,10.3,0,6.9
D'Angelo Russell,BKN,48,16,32,25.7,9.6,2,4.3,45.7,0.7,0.9,85.4,4.8,49.9,2.9,29.6,0.8,8.2,0.7,7.6,0.4,4.5
D.J. Augustin,ORL,75,23,52,23.5,7.8,1,2.2,45.5,0.7,0.8,86.7,2.8,36.2,3.5,44.8,1,13.4,0.4,5.7,0.4,5.1
D.J. Wilson,MIL,22,12,10,3.2,0.3,0.1,0.1,100,0,0,0,0.3,100,0.1,33.3,0,0,0,16.7,0,0
Dakari Johnson,OKC,30,21,9,4.9,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Damian Jones,GSW,15,7,8,5.9,0.1,0.1,0.1,100,0,0,0,0.3,250,0,0,0,0,0,0,0,0
Damian Lillard,POR,73,44,29,36.6,12.6,2.6,5.8,45.3,2,2.2,89.5,7.4,58.8,3.4,27.1,1.1,9,0.6,4.7,1.2,9.3
Damien Wilkins,IND,19,10,9,8,0.8,0.3,0.6,45.5,0,0,0,0.5,62.5,0.2,25,0,0,0.1,6.3,0,0
Damion Lee,ATL,15,4,11,27,4.5,1.1,3,37.8,0,0,0,2.3,51.5,0.9,19.1,0.2,4.4,0.1,2.9,0,0
Damyean Dotson,NYK,44,11,33,10.8,1.2,0.3,0.5,56.5,0.1,0.1,50,0.7,59.6,0.4,30.8,0.2,13.5,0,3.8,0.1,5.8
Daniel Hamilton,OKC,6,5,1,4.6,3,0.3,0.5,66.7,0,0,0,0.7,22.2,1.2,38.9,1.2,38.9,0.2,5.6,0,0
Daniel Theis,BOS,60,41,19,14.9,0.2,0,0.1,40,0,0,50,0.1,35.7,0.1,35.7,0,7.1,0,14.3,0,7.1
Danilo Gallinari,LAC,21,11,10,32,5,0.7,1.9,37.5,1.6,1.7,94.4,3.1,61.3,1.5,30.2,0.5,9.4,0,0.9,0.9,17
Danny Green,SAS,70,40,30,25.6,3.8,0.6,1.7,36.8,0.1,0.2,83.3,1.4,36.7,1.4,37.1,0.3,9,0.2,4.9,0.1,2.2
Dante Cunningham,BKN,73,34,39,21.4,0.5,0,0.2,17.6,0,0,66.7,0.1,24.3,0.2,35.1,0,5.4,0,5.4,0,5.4
Dante Exum,UTA,14,10,4,16.8,7.9,2.1,3.8,54.7,0.1,0.3,50,4.3,54.5,1.6,20.9,1.1,14.5,0.4,5.5,0.1,1.8
Danuel House,PHX,23,6,17,17.5,2.4,0.6,1.2,51.9,0.2,0.2,100,1.5,61.8,0.7,30.9,0.1,5.5,0.1,5.5,0.1,3.6
Dario Saric,PHI,77,49,28,29.6,3.7,0.6,1.4,45.2,0.4,0.4,94.1,1.7,45.2,1.3,35.3,0.3,7.4,0.3,9.2,0.2,6
Darius Miller,NOP,82,48,34,23.7,1.8,0.3,0.5,53.3,0,0,100,0.6,36.1,0.7,38.9,0.4,20.1,0.1,4.9,0,1.4
Darrell Arthur,DEN,19,12,7,7.4,0.4,0,0.1,0,0,0,0,0,0,0.1,25,0,0,0.2,37.5,0,0
Darren Collison,IND,69,39,30,29.3,5.6,0.7,1.6,43.2,0.5,0.5,88.9,1.9,34.2,2.5,44.5,0.8,14.9,0.2,4.1,0.3,4.9
Darrun Hilliard,SAS,14,8,6,6.8,1.1,0.1,0.5,14.3,0.1,0.1,100,0.4,31.3,0.3,25,0.2,18.8,0.1,6.3,0.1,6.3
David Nwaba,CHI,70,26,44,23.5,4.5,0.7,2.1,32,0.5,0.8,66.7,2,43.6,1.2,25.8,0.3,6.7,0.4,8.3,0.4,8.9
David Stockton,UTA,3,3,0,3.1,1.7,0,0,0,0,0,0,0,0,1,60,0,0,0.3,20,0,0
David West,GSW,73,52,21,13.7,0.6,0.2,0.3,45.8,0,0.1,75,0.4,63.4,0.1,22,0,7.3,0,2.4,0,4.9
Davis Bertans,SAS,77,43,34,14.1,1.2,0.3,0.5,58.3,0,0,100,0.6,46.9,0.4,35.4,0.2,13.5,0.1,6.3,0,1
Davon Reed,PHX,21,2,19,11.5,1.5,0.3,0.7,46.7,0.2,0.3,66.7,0.9,58.1,0.4,29,0,0,0.1,6.5,0.1,9.7
De'Aaron Fox,SAC,73,24,49,27.7,8.4,1.5,3.7,41,0.7,0.9,75,3.8,45.6,2.4,28.3,1,11.6,0.6,7.2,0.5,5.4
DeAndre Jordan,LAC,77,39,38,31.5,0.1,0.1,0.1,66.7,0,0,50,0.1,90,0,0,0,0,0,20,0,10
DeAndre Liggins,NOP,57,34,23,12.4,1.4,0.1,0.3,25,0,0,50,0.2,11.7,0.8,55.8,0.2,14.3,0.1,3.9,0,1.3
DeAndre' Bembry,ATL,25,8,17,18.2,6.6,0.9,2.3,38.6,0.2,0.5,50,2.1,31.5,2.5,38.2,0.6,9.7,0.7,10.3,0.2,3.6
DeMar DeRozan,TOR,80,57,23,33.9,16.3,3.4,6.8,49.6,2.2,2.7,81,9.2,56.5,5.1,31.3,1.6,9.9,0.8,5.1,1.4,8.6
DeMarcus Cousins,NOP,48,27,21,36.2,9.3,2,3.9,52.2,1.8,2.4,74.6,6.1,65.5,1.8,19.7,0.7,7.2,1.3,13.5,1.3,13.5
DeMarre Carroll,BKN,71,24,47,29.9,5.5,1.1,2.7,40.4,0.6,0.8,79.3,2.9,53.6,1.6,28.5,0.3,6.2,0.3,5.6,0.4,7.4
Dejounte Murray,SAS,81,47,34,21.5,8.2,1.2,3.1,40.4,0.3,0.4,77.8,2.9,34.9,3.2,39.8,0.7,8.8,0.5,6.7,0.2,3
Delon Wright,TOR,69,49,20,20.8,7,1.2,2.6,46,0.6,0.7,84.8,3,43.2,2.7,37.9,0.8,11.5,0.4,6,0.3,4.7
Demetrius Jackson,PHI,15,12,3,5.3,2.1,0.3,0.5,62.5,0,0,0,0.7,32.3,1,48.4,0.1,6.5,0.3,12.9,0,0
Dennis Schroder,ATL,66,21,45,30.9,16.4,3.8,8,47.3,1.6,1.9,84.4,9.4,57.3,4.4,26.9,1.6,9.5,0.8,5.1,1,6.1
Dennis Smith Jr.,DAL,69,22,47,29.7,12.7,2.1,5.2,40.3,0.7,1,69.7,5,39.7,4.3,33.9,1.4,10.8,0.9,6.8,0.5,3.9
Denzel Valentine,CHI,77,26,51,27.2,4.9,0.9,1.9,46.3,0.1,0.1,62.5,1.8,37.4,1.9,38.7,0.6,11.7,0.4,7.7,0.1,1.1
Derrick Favors,UTA,77,46,31,28,0.2,0.1,0.1,50,0,0,100,0.2,75,0.1,25,0,6.3,0,12.5,0,6.3
Derrick Jones Jr.,MIA,20,9,11,12.3,0.8,0.2,0.6,33.3,0.2,0.2,75,0.6,68.8,0.1,6.3,0,0,0.1,6.3,0.1,12.5
Derrick Rose,MIN,25,15,10,16.8,5.1,1.1,2.6,42.4,0.6,0.7,83.3,2.9,56.7,1.2,22.8,0.4,8.7,0.4,7.9,0.4,7.1
Derrick Walton Jr.,MIA,16,8,8,9.2,0.5,0,0.1,0,0.1,0.1,100,0.1,25,0.3,62.5,0,0,0,0,0.1,12.5
Derrick White,SAS,17,7,10,8.2,1.8,0.2,0.8,30.8,0.4,0.6,60,0.8,46.7,0.5,30,0.1,3.3,0.1,6.7,0.3,16.7
Derrick Williams,LAL,2,1,1,4.3,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Booker,PHX,54,16,38,34.5,10.1,2.2,5.2,43.1,1,1.2,85.9,5.8,57.4,2.5,24.4,0.9,9,0.5,5.3,0.6,5.9
Devin Harris,DEN,71,33,38,18.9,5,0.7,1.7,41.1,0.6,0.7,84.9,2.1,42.7,1.7,34,0.6,12.9,0.2,4.8,0.4,7.6
Devin Robinson,WAS,1,0,1,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewayne Dedmon,ATL,61,18,43,24.9,0.4,0.2,0.3,52.6,0,0,0,0.3,76.9,0,7.7,0,11.5,0,3.8,0,0
Deyonta Davis,MEM,62,16,46,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Brooks,MEM,82,22,60,28.7,5.3,1.3,2.7,48.4,0.5,0.7,74.1,3.2,60.5,1.2,23.1,0.3,5.5,0.4,7.9,0.4,6.7
Dion Waiters,MIA,29,15,14,30.8,14.7,2.1,4.4,46.9,1.3,1.7,76,5.5,37.2,6,41,1.8,12.2,1.3,8.7,0.9,5.9
Dirk Nowitzki,DAL,77,24,53,24.7,0.1,0,0,100,0,0,0,0.1,100,0,0,0,0,0,25,0,0
Domantas Sabonis,IND,74,45,29,24.5,1.6,0.4,0.7,52.7,0.2,0.2,85.7,1,61,0.5,28.8,0.1,6.8,0.1,7.6,0.1,5.9
Donovan Mitchell,UTA,79,46,33,33.4,13.3,2.9,6.3,47.1,1.4,1.7,81.2,7.5,56.5,3.5,26.3,1.2,9,1,7.2,0.8,6.4
Dorian Finney-Smith,DAL,21,4,17,21.3,1.8,0.2,0.5,40,0.3,0.5,70,0.7,40.5,0.5,27,0.3,18.9,0.2,10.8,0.2,13.5
Doug McDermott,DAL,80,29,51,21.7,1,0.3,0.7,43.6,0.1,0.1,75,0.7,65.9,0.1,12.2,0.1,4.9,0.1,7.3,0.1,4.9
Dragan Bender,PHX,82,21,61,25.2,1.8,0.3,0.8,41.3,0.1,0.2,85.7,0.8,44.8,0.6,33.8,0.1,5.5,0.1,6.2,0.1,4.8
Draymond Green,GSW,70,48,22,32.7,2.2,0.4,0.9,39.1,0.5,0.5,84.2,1.2,52.9,0.6,28.7,0.2,10.2,0.1,5.1,0.3,12.1
Dwayne Bacon,CHA,53,25,28,13.5,1.9,0.6,1.2,50,0,0.1,50,1.3,68.3,0.3,16.8,0.1,6.9,0.1,6.9,0.1,3
Dwight Buycks,DET,29,10,19,14.7,5.8,0.8,2.3,33.3,0.9,1,83.3,2.4,41.9,1.8,30.5,0.5,8.4,0.4,7.8,0.5,9
Dwight Howard,CHA,81,35,46,30.4,1.7,0.5,1.1,45.3,0.2,0.4,52.8,1.2,74.3,0.1,8.8,0.1,3.7,0.1,8.8,0.2,13.2
Dwight Powell,DAL,79,23,56,21.2,0.9,0.2,0.5,45.9,0.1,0.1,100,0.6,69.1,0.2,20.6,0.1,10.3,0,2.9,0.1,7.4
Dwyane Wade,MIA,67,37,30,22.9,6.2,1.2,2.9,41.8,0.4,0.7,65.9,3,48.2,1.7,27.6,0.6,9.6,0.5,7.7,0.3,5.3
E'Twaun Moore,NOP,82,48,34,31.5,4.9,1,2.3,45.5,0.1,0.1,75,2.2,44.5,1.6,33.3,0.5,9.3,0.3,6.3,0,1
Ed Davis,POR,78,48,30,18.9,0.4,0.1,0.2,42.1,0,0,50,0.2,64.3,0.1,17.9,0,7.1,0,3.6,0,3.6
Edmond Sumner,IND,1,0,1,2.2,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
Ekpe Udoh,UTA,63,36,27,12.9,0.1,0,0,66.7,0,0,0,0.1,71.4,0,14.3,0,28.6,0,14.3,0,0
Elfrid Payton,PHX,63,13,50,28.7,11.9,2.4,5,47.9,0.7,1.1,62,5.7,47.7,4.1,34.7,1.1,9.6,0.7,5.5,0.6,4.9
Emeka Okafor,NOP,26,16,10,13.6,0.1,0,0,100,0,0,0,0.1,100,0,0,0,0,0,0,0,50
Emmanuel Mudiay,NYK,64,29,35,19.4,7.9,1.2,3.1,40.1,0.6,0.8,75.9,3.3,41.3,2.8,36.1,0.7,9.1,0.6,7.5,0.4,5.4
Enes Kanter,NYK,70,26,44,25.8,0.4,0.2,0.3,60,0,0,100,0.4,92.9,0,7.1,0,3.6,0,10.7,0,3.6
Eric Bledsoe,MIL,74,40,34,31.4,12.2,2,3.9,51.6,0.8,1.1,70.7,5,40.9,5,40.8,1.4,11.2,0.9,7.4,0.6,4.7
Eric Gordon,HOU,69,55,14,31.2,7.6,1.9,3.5,53.8,1.1,1.4,82.3,5.1,67.1,2,26,0.6,7.5,0.5,6.5,0.7,9.4
Eric Moreland,DET,67,32,35,12,0.2,0,0.1,30,0,0,0,0.1,40,0.1,26.7,0,0,0,0,0,0
Erik McCree,UTA,4,4,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ersan Ilyasova,PHI,69,36,33,25.1,0.9,0.2,0.5,33.3,0,0.1,75,0.4,42.6,0.2,21.3,0.1,6.6,0.1,9.8,0,3.3
Evan Fournier,ORL,57,20,37,32.2,8.1,1.8,3.7,48.6,0.9,1.1,86.9,4.6,57.4,2.4,30.1,0.7,8.2,0.5,6.7,0.5,6.7
Evan Turner,POR,79,48,31,25.7,3.5,0.9,2,46.8,0.4,0.5,77.8,2.3,64.7,0.7,20.9,0.2,6.1,0.2,6.1,0.2,6.5
Frank Kaminsky,CHA,79,35,44,23.2,4.4,1.1,2.5,44.3,0.5,0.6,86,2.9,65.2,1.1,24.1,0.2,4.6,0.2,4.6,0.3,7.5
Frank Mason,SAC,52,17,35,18.9,7.3,0.9,2.8,32.9,0.8,1,82,2.7,37.4,2.6,36.3,0.8,10.6,0.3,4.5,0.5,6.6
Frank Ntilikina,NYK,77,27,50,22,4.5,0.6,1.7,38,0.2,0.3,81.8,1.5,33.4,1.6,35.2,0.6,12.7,0.4,8.6,0.1,3.2
Fred VanVleet,TOR,76,55,21,20,8.6,1.1,2.6,42.2,0.3,0.4,86.7,2.6,30.4,4,46,1.1,12.7,0.5,6.1,0.2,2.4
Furkan Korkmaz,PHI,14,11,3,5.7,0.6,0,0.2,0,0,0,0,0,0,0.3,44.4,0.1,11.1,0,0,0,0
Garrett Temple,SAC,65,23,42,24.8,2.2,0.3,0.9,35.7,0.2,0.3,80,0.9,41.1,0.7,33.3,0.2,7.1,0.2,8.5,0.2,7.8
Gary Harris,DEN,67,37,30,34.4,7.5,1.9,3.5,53.2,0.7,0.8,83,4.5,59.6,2.2,29.4,0.7,9.5,0.5,6.2,0.4,5.6
Gary Payton II,LAL,23,10,13,9.6,1.3,0.3,0.7,41.2,0,0,0,0.6,48.3,0.3,24.1,0.1,10.3,0,3.4,0,0
George Hill,CLE,67,28,39,27,5.1,0.9,2,46.6,0.3,0.4,71.4,2.2,44.2,1.9,36.9,0.5,10.6,0.3,5.9,0.2,4.1
Georges Niang,UTA,9,9,0,3.5,0.8,0.2,0.2,100,0,0,0,0.4,57.1,0.4,57.1,0,0,0.1,14.3,0,0
Georgios Papagiannis,POR,17,3,14,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Green,HOU,41,33,8,22.7,2.5,0.6,1.2,49,0.2,0.4,56.3,1.5,59.2,0.7,27.2,0.1,4.9,0.2,6.8,0.2,7.8
Gian Clavell,DAL,7,0,7,9.1,0.7,0,0,0,0.3,0.3,100,0.3,40,0.1,20,0.1,20,0.3,40,0.1,20
Giannis Antetokounmpo,MIL,74,39,35,36.7,11,2.3,4.6,50.7,1.7,2.2,75.6,6.6,59.7,3.3,30.2,0.8,7.1,0.7,6.7,1.1,10.2
