PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Patrick McCaw,GSW,57,41,16,16.9,2,0.3,0.9,36,0.2,0.2,83.3,0.8,40.4,0.6,30.7,0.2,8.8,0.1,4.4,0.1,5.3
Patrick Patterson,OKC,80,48,32,15.3,0.9,0.1,0.4,22.9,0.2,0.3,90,0.4,45.3,0.3,28,0,4,0.1,6.7,0.1,13.3
Patty Mills,SAS,82,47,35,25.7,4.4,0.4,1,44.9,0.1,0.1,83.3,0.9,20.8,2.5,57.5,0.5,11.7,0.2,5,0,0.8
Pau Gasol,SAS,77,45,32,23.5,1.6,0.4,0.8,47.5,0.3,0.3,88.5,1,63.7,0.4,25.8,0.1,4.8,0.1,4,0.2,11.3
Paul George,OKC,78,47,31,36.6,8.9,1.6,3.5,45.4,1.4,1.7,83.1,4.8,53.5,2.6,29.4,0.8,8.6,0.8,8.8,0.9,9.6
Paul Millsap,DEN,38,22,16,30.1,5.6,1.2,2.8,43.5,0.5,0.8,59.4,3,53.6,1.2,22.3,0.4,7.1,0.3,6.2,0.4,7.6
Paul Zipser,CHI,54,17,37,15.3,2.4,0.3,0.9,39.1,0.1,0.2,58.3,0.8,33.6,1,40.6,0.3,10.9,0.1,3.9,0.1,4.7
Quincy Acy,BKN,68,25,43,19.5,1.2,0.1,0.3,17.4,0.2,0.2,78.6,0.3,23.8,0.4,30,0.1,11.3,0.2,16.3,0.1,8.8
Quincy Pondexter,CHI,23,6,17,8.5,0.9,0.2,0.5,36.4,0,0,0,0.3,40,0.2,25,0,5,0.1,15,0,0
Quinn Cook,GSW,33,21,12,22.4,4.5,0.7,1.5,47.1,0,0,0,1.5,32.7,1.6,36.1,0.7,15.6,0.4,8.8,0,0
RJ Hunter,HOU,5,3,2,9,1,0.2,0.6,33.3,0,0,0,0.6,60,0.4,40,0,0,0,0,0,0
