PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
C.J. Williams,LAC,28,7,11.4,61.6,1,3,34.3,1.3,3.3,39.2,2,5,39.8,2.6,6.2,42.6,2.5,7.5,33.3
CJ McCollum,POR,26,12.3,22.5,54.6,2.6,5.8,45,2.6,6.4,40.1,3.4,7.9,43.4,4.4,10.9,40.1,4,10.6,37.5
CJ Miles,TOR,31,7.1,12.6,56.7,1.4,4,33.8,1.3,3,43.3,1.3,3.2,42.1,1.5,4.2,35.1,2.1,5.8,36.2
Caleb Swanigan,POR,21,2.3,4,57.7,0.6,1.4,39.3,0.6,1.2,52,0.7,1.5,48.6,1,2.8,37.3,0.6,2.2,27.6
Cameron Payne,CHI,23,8.4,12.9,64.9,1.6,3.1,53.2,0.9,2.7,33.8,1.6,3,52.6,3.8,9.4,40.7,3.4,10.4,33.2
Caris LeVert,BKN,23,9.3,15.8,58.7,2.2,5.1,42.8,2.1,4.9,42.5,2.7,6.3,42.4,3.2,7.9,39.9,3.2,8.7,36.9
Carmelo Anthony,OKC,34,12.1,19,63.8,2.2,5.5,40,1.8,4.5,40.6,1.7,4.5,36.9,4.8,12.4,38.9,3.5,9.7,36.1
Cedi Osman,CLE,23,4.4,7.2,61.4,1.1,2.3,47.2,1,2.1,47.7,0.8,2.3,37.4,1.3,3.5,37.5,2,5,40.2
Chandler Parsons,MEM,29,7,10.9,63.7,1.3,2.9,45.3,1.1,3.1,36.6,0.8,2.7,30.2,2.3,4.8,48,2.8,7.4,36.9
Channing Frye,LAL,35,4.9,8.1,60.7,0.9,2.3,37.2,0.9,2.1,43,0.9,2.8,34.1,1.5,3.7,39.3,1.9,5.5,34.4
Charles Cooke,NOP,23,0.9,2.1,43.5,0.6,1.1,50,0.1,0.2,50,0.2,0.8,25,0.2,0.6,33.3,0.7,1.2,57.1
Cheick Diallo,NOP,21,4.6,7.5,61.4,1.3,2.5,52.9,0.7,2,33.3,1,2.4,43.8,1,3.2,32.3,1.9,4.8,39.3
Chinanu Onuaku,HOU,21,7,14,50,1,3,33.3,0,1,0,0,1,0,2,6,33.3,3,10,30
Chris Boucher,GSW,25,1,1,100,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-
Chris McCullough,WAS,23,1.9,2.7,69.4,0.1,0.8,15.4,0.3,0.9,28.6,0.5,0.9,50,0.5,1.3,42.1,0.9,2.4,37.8
Chris Paul,HOU,33,12.2,19.7,61.7,2.6,6.1,41.7,1.8,4.6,39.7,1.7,4.4,38.3,3.6,9.1,39.3,4.1,11.6,35.1
Clint Capela,HOU,24,11.6,18.4,63.4,2.3,5.3,43.1,1.8,4.6,39.6,1.4,3.9,36.2,3,7.9,37.7,3.3,9.4,35.3
Cody Zeller,CHA,25,6.9,10.4,66.8,1.2,3.5,36,1.2,2.6,44.8,1,2.7,37.8,2.2,5.4,39.9,2.5,7.5,32.9
Cole Aldrich,MIN,29,1,1.3,78.9,0.1,0.3,20,0.3,0.6,50,0.2,0.5,42.9,0.6,1.2,50,0.2,0.8,25
Corey Brewer,OKC,32,6.8,11.2,60.9,1.3,3,42,1,2.4,42.8,1.1,2.7,39.3,2.1,5.6,37.9,2.4,6.1,39.5
