PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Rodney Hood,CLE,25,60,27,0.2,1.1,0.6,0.03,3,2.2,5.2
Rodney McGruder,MIA,26,18,17,0.1,1,0.6,0,1.6,1.9,3.5
Rodney Purvis,ORL,24,16,18,0.1,0.9,0.4,0,1.1,1.6,2.7
Ron Baker,NYK,25,29,13,0.3,1.7,0.6,0,1.4,1,2.4
Rondae Hollis-Jefferson,BKN,23,68,28,1.7,1.9,0.9,0.01,6.4,2.2,8.6
Royce O'Neale,UTA,25,69,17,0.1,1,0.6,0,2.1,1.4,3.5
Rudy Gay,SAS,31,57,22,0.5,1.6,1,0.05,3.9,2.6,6.6
Rudy Gobert,UTA,26,56,32,6.2,1.4,0.7,0,12.7,2.3,15
Russell Westbrook,OKC,29,80,36,0.1,3.3,2.1,0.06,1.9,1.6,3.5
Ryan Anderson,HOU,30,66,26,1.1,0.6,0.7,0.09,4.8,2.1,6.9
Ryan Arcidiacono,CHI,24,24,13,0.1,0.8,0.3,0.17,0.5,1.3,1.8
Salah Mejri,DAL,32,61,12,2.2,0.6,0.6,0.18,4.9,1.1,6
Sam Dekker,LAC,24,73,12,0.3,0.6,0.5,0,2.3,1.1,3.3
Scotty Hopson,DAL,28,1,8,0,1,1,0,1,0,1
Sean Kilpatrick,CHI,28,52,12,0.1,0.6,0.4,0,0.8,0.8,1.6
Semi Ojeleye,BOS,23,73,16,0.2,0.6,0.3,0.1,2.6,1.8,4.4
Serge Ibaka,TOR,28,76,28,1.4,0.8,0.6,0.03,6.4,2.6,9
Shabazz Muhammad,MIL,25,43,10,0.1,0.4,0.3,0.05,0.9,0.9,1.9
Shabazz Napier,POR,26,74,21,0.1,2,0.8,0.03,1.9,1.7,3.6
Shane Larkin,BOS,25,54,14,0,1,0.6,0.11,1.3,1.3,2.6
Shaquille Harrison,PHX,24,23,17,0.2,2.1,0.8,0,2.5,2.1,4.6
Shaun Livingston,GSW,32,71,16,0.4,0.8,0.5,0,2.2,1.3,3.6
Shelvin Mack,ORL,28,69,20,0.1,1.6,0.8,0.04,2.1,2.4,4.5
Sindarius Thornwell,LAC,23,73,16,0.1,1.1,0.6,0.05,2.4,1.9,4.4
Skal Labissiere,SAC,22,60,21,1.2,0.6,0.8,0.03,5,2.9,7.8
Solomon Hill,NOP,27,12,16,0.5,0.4,0.9,0,2.8,1.5,4.3
Spencer Dinwiddie,BKN,25,80,29,0.5,1.5,1,0.03,3.5,2.1,5.6
Stanley Johnson,DET,22,69,27,0.1,2.2,1,0,2.8,2.3,5.1
Stephen Curry,GSW,30,51,32,0.7,2.7,1.6,0.08,2.3,2.3,4.6
Sterling Brown,MIL,23,54,14,0.1,0.9,0.6,0,1.4,1.6,3.1
Steven Adams,OKC,24,76,33,4.8,2.3,1.3,0,9.6,3.8,13.4
T.J. McConnell,PHI,26,76,22,0.2,2.3,1.1,0.01,2.1,1.6,3.7
TJ Leaf,IND,21,53,9,0.3,0.2,0.2,0,1.8,1.1,2.8
TJ Warren,PHX,24,65,33,0.1,1.9,1.3,0,3.3,3,6.4
Taj Gibson,MIN,33,82,33,2.5,1.3,1.1,0,6.4,4.2,10.6
Tarik Black,HOU,26,51,11,1.6,0.7,0.5,0.02,3.3,1.2,4.5
Taurean Prince,ATL,24,82,30,0.2,1.8,1.1,0.11,3.8,2.8,6.6
Terrance Ferguson,OKC,20,61,13,0,0.7,0.4,0,1.9,1.2,3.1
Terrence Ross,ORL,27,24,25,0.1,2.1,0.9,0,3,2,5
Terry Rozier,BOS,24,80,26,0.3,1.5,0.9,0.04,1.9,2.2,4
Thabo Sefolosha,UTA,34,38,21,0.4,2.2,0.7,0,3,2.5,5.5
Thaddeus Young,IND,30,81,32,1.3,3.6,1.5,0.17,5.8,4.7,10.5
Thomas Bryant,LAL,20,15,5,0.5,0.2,0.3,0,1.5,0.3,1.9
Thon Maker,MIL,21,74,17,1.6,0.9,0.6,0,6.2,1.5,7.7
Tim Frazier,WAS,27,59,14,0.1,1.1,0.6,0.14,1.2,1.6,2.9
Tim Hardaway Jr.,NYK,26,57,33,0.2,1.4,1.1,0.21,3,3.6,6.6
Tim Quarterman,HOU,23,3,4,0,0,0,0,0.3,0.7,1
Timofey Mozgov,BKN,31,31,12,1.4,0.2,0.3,0.03,4.7,1,5.7
Timothe Luwawu-Cabarrot,PHI,23,52,16,0.1,0.7,0.4,0,2.3,1.8,4
Tobias Harris,LAC,25,80,33,1.3,1.5,1.1,0.01,5.9,3.8,9.7
Tomas Satoransky,WAS,26,73,23,0.1,1.4,1,0.07,2.7,2.1,4.8
Tony Allen,NOP,36,22,12,0.1,0.9,0.6,0,1.3,1.4,2.6
Tony Bradley,UTA,20,9,3,0.1,0,0,0,0.6,1.2,1.8
Tony Parker,SAS,36,55,19,0.1,0.6,0.6,0.02,1.1,1.4,2.5
Tony Snell,MIL,26,75,27,0.2,1.3,0.7,0,3.2,2.5,5.7
Torrey Craig,DEN,27,39,16,0.1,0.4,0.4,0,2.8,1.9,4.7
Travis Wear,LAL,27,17,13,0.5,0.5,0.4,0,3,1.9,4.9
Treveon Graham,CHA,24,63,17,0.2,0.8,0.8,0.1,1.8,1.6,3.5
Trevor Ariza,HOU,32,67,34,0.3,2.9,1,0.03,2.6,2.5,5.1
Trevor Booker,IND,30,68,17,1.8,0.8,0.6,0.04,2.9,1.9,4.8
Trey Burke,NYK,25,36,22,0.2,1,0.9,0,1.8,1.7,3.5
Trey Lyles,DEN,22,73,19,0.9,0.7,0.5,0.05,4.2,2.2,6.4
Trey McKinney-Jones,IND,27,1,1,0,0,0,0,0,0,0
Tristan Thompson,CLE,27,53,20,3.4,0.5,0.9,0,6,2.4,8.4
Troy Daniels,PHX,26,79,21,0.2,0.9,0.5,0.03,2.2,1.9,4.1
Troy Williams,NYK,23,21,15,0.1,1.7,0.5,0,0.9,1.3,2.2
Tyler Cavanaugh,ATL,24,39,13,1.7,0.5,0.4,0.1,2.8,1.2,4
Tyler Dorsey,ATL,22,56,17,0,0.8,0.6,0,1.7,1.7,3.4
Tyler Ennis,LAL,23,54,13,0,0.7,0.6,0.02,1.7,1.2,2.9
Tyler Johnson,MIA,26,72,29,0.3,1.6,0.9,0.08,4.7,2.9,7.6
Tyler Lydon,DEN,22,1,2,0,0,0,0,0,1,1
Tyler Ulis,PHX,22,71,23,0.2,2,0.9,0.04,2.1,1.7,3.7
Tyler Zeller,MIL,28,66,17,2,0.4,0.4,0.11,6.9,1.4,8.3
Tyreke Evans,MEM,28,52,31,0.1,1.9,1.3,0,2.6,3.3,5.8
Tyrone Wallace,LAC,24,30,28,0.2,1.8,1.4,0,4.3,3.5,7.8
Tyson Chandler,PHX,35,46,25,3.9,0.7,0.5,0.02,6.3,0.9,7.2
Tyus Jones,MIN,22,82,18,0.1,1.9,0.8,0.09,1.6,1.9,3.5
Udonis Haslem,MIA,38,14,5,0.4,0,0.3,0.14,1.2,0.4,1.6
Vander Blue,LAL,25,5,9,0.2,0.6,0,0,1,0.8,1.8
Victor Oladipo,IND,26,75,34,0.1,3.8,1.6,0.16,4,4.8,8.8
Vince Carter,SAC,41,58,18,0.5,1.1,0.6,0.03,2,2,4
Vincent Hunter,MEM,23,4,2,0,0,0,0,0.5,0.5,1
Wade Baldwin IV,POR,22,7,11,0.6,0.7,0.3,0,1.4,0.7,2.1
Walter Lemon Jr.,NOP,25,5,7,0,0,0,0,1.4,0.2,1.6
Wayne Ellington,MIA,30,77,27,0.6,1.1,0.9,0,2.1,2.7,4.8
Wayne Selden,MEM,23,35,20,0.1,1,0.7,0,1.5,2,3.5
Wes Iwundu,ORL,23,62,16,0.1,0.8,0.5,0.05,1.8,1.7,3.5
Wesley Johnson,LAC,30,74,20,0.1,2,0.5,0.01,3.5,2.1,5.6
Wesley Matthews,DAL,31,63,34,0.2,1.9,1.4,0.06,2.6,3,5.7
Will Barton,DEN,27,81,33,0.1,1.8,1,0,3.4,2.7,6.1
Willie Cauley-Stein,SAC,24,73,28,3.1,1.9,1,0.12,6.2,3.1,9.3
Willie Reed,DET,28,42,10,0.9,0.4,0.3,0.29,3.4,0.5,3.9
Willy Hernangomez,CHA,24,48,10,1.6,0.8,0.4,0,3.2,0.9,4
