Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
275,DeAndre Liggins,NOP,30,10,7,3,1.6,0.2,0.1,0.2,50,0,0.1,0,0,0,0,0,0.4,0.4,0.1,0.1,0.1,0.1,0.1,1.3,0,0,0.3
275,Royce O'Neale,UTA,25,10,7,3,1.5,0.4,0.1,0.2,50,0,0,0,0.2,0.2,100,0,0.1,0.1,0.1,0,0.1,0,0.1,1,1,0,1
275,Kyle O'Quinn,NYK,28,10,2,8,3.5,0.8,0.3,0.6,50,0,0,0,0.2,0.2,100,0.3,0.5,0.8,0.1,0.2,0.3,0.4,0.5,3.8,4,0,-0.6
275,Nerlens Noel,DAL,24,10,1,9,2.3,0.4,0.2,0.4,50,0,0,0,0,0,0,0.3,0.2,0.5,0.1,0,0.2,0.1,0.7,2.1,2,0,-2.4
275,David West,GSW,37,10,8,2,1.2,0,0,0.1,0,0,0,0,0,0,0,0.1,0.2,0.3,0,0.1,0.1,0.1,0.2,0.9,0,0,-0.2
275,Tyrone Wallace,LAC,24,10,7,3,1.4,0.2,0.1,0.2,50,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.4,0.4,0,0,-1.1
275,Aron Baynes,BOS,31,10,6,4,1.8,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,-0.2
283,Cedi Osman,CLE,23,9,7,2,1.3,0.6,0.1,0.4,25,0,0.3,0,0.3,0.4,75,0.1,0,0.1,0,0,0.2,0,0.2,1.4,0,0,-0.1
283,Khem Birch,ORL,25,9,5,4,2,1.1,0.2,0.2,100,0,0,0,0.7,0.9,75,0,0.2,0.2,0.1,0.1,0,0,0.2,1.4,1,0,-0.3
283,Richaun Holmes,PHI,24,9,4,5,3.3,1.8,0.6,0.9,62.5,0,0.2,0,0.7,0.9,75,0.1,0.6,0.7,0,0.1,0.1,0,0.6,2.8,1,0,-0.6
283,Zach LaVine,CHI,23,9,5,4,3.7,3,0.7,2.4,27.3,0.2,0.8,28.6,1.4,1.9,76.5,0.1,0.6,0.7,0.6,0.2,0.2,0,0.3,5.1,0,0,1.1
283,Jabari Parker,MIL,23,9,4,5,2.4,0,0,0.6,0,0,0.2,0,0,0,0,0.1,0.2,0.3,0.1,0.1,0.1,0,0.2,0.8,3,0,-2
283,DeAndre' Bembry,ATL,23,9,5,4,1.3,0.3,0.1,0.1,100,0.1,0.1,100,0,0,0,0,0.1,0.1,0,0.3,0.1,0,0.6,0.5,0,0,-0.7
283,Ben McLemore,MEM,25,9,1,8,2.7,0.2,0.1,0.3,33.3,0,0.2,0,0,0,0,0,0.3,0.3,0.2,0,0,0,0.6,1,0,0,-3.1
283,Mike James,NOP,27,9,4,5,3,1.6,0.6,1.3,41.7,0.1,0.6,20,0.3,0.6,60,0,0.1,0.1,0.4,0.2,0.1,0,0.3,2.5,0,0,0.9
