Player_Num,VS PLAYER,TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,OPP +/-
542,"Williams, Troy",HOU,4,3,1,4.2,4.3,7.5,56.7,1.8,3.3,53.8,1.5,2,75,0.5,3.8,4.3,3.3,1,1.3,0.5,0,1,1.5,11.8,5.3
542,"Gibson, Jonathan",BOS,4,2,2,10,9.5,19.3,49.4,3,8,37.5,2.8,3.8,73.3,1.5,7.3,8.8,7,2.5,2.3,0.8,1,2.3,3.5,24.8,0.3
542,"McCree, Erik",UTA,4,4,0,1.9,2,3.3,61.5,0.3,0.8,33.3,1.5,1.5,100,0.3,0.8,1,0.5,1,0.8,0.3,0.3,0.3,1.3,5.8,2.3
542,"Jones, Jalen",NOP,4,1,3,4.8,4.8,8,59.4,2,3.3,61.5,1.3,2,62.5,1,3.5,4.5,2.8,1.5,1,0.3,0.3,1.3,1.3,12.8,1.8
542,"Asik, Omer",CHI,4,0,4,15.3,14.8,28,52.7,5.5,12.5,44,3.3,5.3,61.9,2.5,10.3,12.8,10,4.3,4.5,2,1,5.5,5.8,38.3,7.3
542,"Costello, Matt",SAS,4,2,2,8.1,5.5,12,45.8,2,5.5,36.4,3.5,5,70,1.5,4.5,6,3.3,3.3,1.5,1,0.8,2.8,3.8,16.5,-3.8
542,"Johnson, Omari",MEM,4,1,3,18.8,16,32,50,6,15,40,7.3,10.3,70.7,4,10.8,14.8,10.8,5.5,2,1.8,1.3,5.3,6.8,45.3,-2.5
542,"James, Mike",NOP,4,1,3,4.5,5,8.3,60.6,0.8,1.5,50,2.5,3.3,76.9,1,3.8,4.8,3.3,1.3,1.3,0.8,0.5,2,2,13.3,2.5
542,"Hunter, Vincent",MEM,4,0,4,1.9,1,2.3,44.4,0.5,0.8,66.7,0.5,0.5,100,0.3,1,1.3,0.8,1,0.3,0,0.3,1,0.3,3,-1.5
542,"Kilpatrick, Sean",LAC,4,1,3,9.6,8.5,17.3,49.3,2.8,5.5,50,4.5,5,90,2,5.3,7.3,5,1.8,1.3,1.8,1.3,5.3,4,24.3,-0.3
556,"Reed, Willie",DET,3,3,0,3.1,3,5,60,0.7,2,33.3,0.7,1,66.7,0.3,1.7,2,1.3,1,0.3,0.7,0,0.7,2,7.3,0
556,"Hearn, Reggie",DET,3,3,0,2.2,1.7,4.3,38.5,0.7,2.3,28.6,1,1.7,60,0.7,1.7,2.3,0.7,0.3,0.3,0,0,0.7,1.7,5,1.7
556,"Teague, Marquis",MEM,3,0,3,24.6,20,42.7,46.9,7,20,35,10.7,12,88.9,6,18,24,13.3,8.3,4.3,2.7,1.3,9.3,9.3,57.7,8
556,"McAdoo, James Michael",PHI,3,1,2,6,5,10.3,48.4,0.7,2.7,25,2.3,2.7,87.5,1,5.3,6.3,3,2.3,1.7,0.3,0.3,1.3,2.3,13,-0.3
556,"Quarterman, Tim",HOU,3,2,1,4.3,3,7.7,39.1,0.7,2.7,25,2.3,4,58.3,0.7,3,3.7,2.7,1,2.3,0,1,1.7,2.3,9,3.3
556,"Williams Jr., Matt",MIA,3,1,2,3.8,1.3,5,26.7,0,1.3,0,1.7,2.3,71.4,0.3,2,2.3,0,2,0.7,0.3,0,1.7,1.7,4.3,-5.3
