PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Wayne Ellington,MIA,76,26.6,7.1,2.4,6.1,39,2.3,5.9,39.6,58.1
Wayne Selden,MEM,35,19.8,3.1,1.1,2.6,41.1,1,2.4,41.2,60.6
Wes Iwundu,ORL,62,16.5,0.6,0.2,0.8,27.5,0.1,0.7,21.4,36.3
Wesley Johnson,LAC,74,20.1,2.6,0.9,2.6,35.9,0.7,2.1,34,50
Wesley Matthews,DAL,63,33.8,6,2,5.3,38.7,1.9,5.1,38.1,57.1
Will Barton,DEN,81,33.1,3.8,1.3,3.3,38.7,1.2,3.1,38.6,57.1
Willie Cauley-Stein,SAC,73,28,1.4,0.7,1.5,45.9,0,0.1,37.5,47.3
Willie Reed,DET,42,10.2,0.3,0.1,0.3,54.5,0,0,0,54.5
Willy Hernangomez,CHA,48,10.3,0.4,0.1,0.4,33.3,0.1,0.3,41.7,45.2
Wilson Chandler,DEN,74,31.7,3.3,1.1,2.9,38,1.1,2.8,38.3,56.3
Xavier Munford,MIL,6,3.5,0,0,0.5,0,0,0.2,0,0
Xavier Rathan-Mayes,MEM,5,23.6,0,0,1,0,0,0.8,0,0
Xavier Silas,BOS,2,3.8,0,0,1.5,0,0,1,0,0
Yogi Ferrell,DAL,82,27.8,3.3,1.1,2.8,39.5,1.1,2.8,38.9,58.4
Zach Collins,POR,66,15.8,1.9,0.7,2.2,31.5,0.5,1.7,31.8,43.7
Zach LaVine,CHI,24,27.3,1.8,0.6,1.8,31.8,0.6,1.8,33.3,47.7
Zach Randolph,SAC,59,25.6,4.4,1.8,4.6,39,0.8,2.4,35,48.2
Zaza Pachulia,GSW,69,14.1,0.6,0.3,0.7,44.4,0,0,0,44.4
Zhou Qi,HOU,18,6.9,0.3,0.1,1.1,10.5,0.1,1.1,10.5,15.8
